Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,verify,"doğrulamak, soruşturmak, kanıtlamak",fiil,B1,,We have no way to verify this.,Bunu doğrulamak için hiçbir yöntemimiz yok.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,very,"çok, hatta, bile",sıfat,B1,,I'm not very old.,Ben çok yaşlı değilim.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,via,"vasıtasıyla, aracılığıyla, kanalıyla",edat,B1,,She went to Europe via America.,O Amerika üzerinden Avrupa'ya gitti.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,view,"incelemek, görüş, bakış",isim,B1,,Did you enjoy the view?,Manzara hoşuna gitti mi?
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,viewer,"izleyici, seyirci, vizyonöz",isim,B1,,Television enlightens the viewers as well as entertains them.,Televizyon izleyicileri eğlendirmesinin yanı sıra onları aydınlatır.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,village,"köy, köy halkı, şehir ve kasabalardan küçük ama kalıcı yerleşim birimi",isim,A1,,He lives in a village.,"O, bir köyde yaşıyor."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,vision,"görme, hayal gibi görmek, görme kuvveti",isim,B1,,I just had a vision.,Sadece bir görüşüm vardı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,visitor,"ziyaretçi, ziyarete giden kimse, zair",isim,B2,,We've got a visitor.,Bir konuğumuz var.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,vital,"yaşamsal, çok önemli, hayati",sıfat,B1,,Exercise is vital for a dog.,"Egzersiz, bir köpek için hayatidir."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,voice,"ses, ses tellerini titreştirerek oluşturmak, dile getirmek",isim,B1,,It's Tom's voice.,"O, Tom'un sesi."
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,waiting,"bekleyiş, bekleme, refakat",isim,B2,,I'm sick of waiting.,Beklemekten bıktım.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,walk,"yürümek, dolaşmak, yürüyerek gitmek",fiil,A1,,I don't walk fast.,Hızlı yürümüyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,walking,"yürüyüş, yürüme, yürüyen",isim,B2,,I don't mind walking.,Yürüyüşe itirazım yok.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,wander,"başıboş dolaşmak, dolaşmak, amaçsızca dolaşmak",isim,B1,,Don't wander too far.,Çok uzağa gitme.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,want,"istemek, istek, isteklenmek",fiil,B1,,I don't want it.,Ben onu istemiyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,wanted,"lazım, gerekli, aranılan",sıfat,B1,,I wanted to do it.,Onu yapmak istedim.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",war,"harp, savaş, savaş halinde olmak",isim,B1,,He is a war orphan.,"O, bir savaş yetimidir?"
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,warm,"ısıtmak, ısınmak, ılık",sıfat,A1,,I'll keep it warm.,Onu sıcak tutacağım.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",warming,"dayak atma, ısınma, ısıtma",isim,B2,,I'm just warming up.,Daha yeni ısınıyorum.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",warmth,"sıcaklık, ısı, ateşlilik",isim,B1,,I remember the warmth of his arms.,Onun kollarının sıcaklığını hatırlıyorum.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",warrior,"savaşçı, cenkçi, silahşor",isim,B2,,The warrior is conscious of both his strength and his weakness.,Savaşçı hem gücünün hem de zayıflığının bilincindedir.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,was,"aynen bırakmak, doğduğuna pişman olmak, laf ağzında kalmak",fiil,B1,,I was in a coma.,Ben komadaydım.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,wash,"yıkanmak, aşındırmak, yıkamak",isim,A1,,I will wash my car.,Arabamı yıkayacağım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,washing,"yıkanma, yıkama, bulaşık yıkama",isim,B2,,He is washing a car.,O bir araba yıkıyor.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,watch,"seyretmek, gözlemek, izlemek",isim,A1,,I don't watch TV.,TV izlemem.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,water,"sulamak, su, hafifletmek",isim,A1,,He's in hot water.,O hapı yuttu.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,way,"yol, taraf, tarz",isim,B1,,I'm on my way.,Ben yoldayım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,ways,"yollar, kızak",isim,B1,,We have a ways to go.,Gidecek bir yolumuz var.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,we,biz,zamir,B1,,We can't do it.,Onu yapamayız.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,wealth,"varlık, zenginlik, servet",isim,B1,,Health is better than wealth.,Sağlık servetten daha iyidir.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,wealthy,"varlıklı, zengin, servet sahibi",sıfat,B2,,I'm a wealthy man.,Ben zengin bir adamım.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",weather,"hava, hava durumu, yalpalamak",isim,B2,,"Nice weather, isn't it?","Güzel hava, değil mi?"
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,weaver,"dokumacı, dokuyucu, çulha",isim,B1,,The investigation highlighted the critical role of weaver.,Soruşturma dokumacı kavramının kritik rolünü vurguladı.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,week,"hafta, ardışık yedi günlük süre",isim,A1,,I'll wait a week.,Bir hafta bekleyeceğim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,weekend,"hafta sonu, hafta sonunu geçirmek, haftasonu",isim,B2,,I had a good weekend.,İyi bir hafta sonu geçirdim.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,weight,"ağırlık yapmak, sıklet, ağırlık",isim,B1,,I've put on weight.,Ben kilo aldım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,welfare,"gönenç, refah, yardım",isim,B2,,I'll live on welfare.,Ben refah yaşayacağım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,well,"kuyu, iyi, peki",isim,B1,,He's in the well.,O kuyudadır.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,wellbeing,"iyilik, saadet, sağlık",isim,B2,,The investigation highlighted the critical role of wellbeing.,Soruşturma iyilik kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,wellness,"zindelik, sağlık, sıhhat",isim,B2,,The investigation highlighted the critical role of wellness.,Soruşturma zindelik kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,went,gitmenin  2. hali,fiil,B1,,I'm glad I went.,Gittiğime memnun oldum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,were,"bölgeden yer yer çatışma haberleri gelmek, alınan kararlar, adeta",fiil,B1,,I knew you were OK.,İyi olduğunu biliyordum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,wet,"ıslatmak, ıslak, yaş",sıfat,B1,,I'm cold and wet.,Ben üşüdüm ve ıslağım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,what,"ne, neyi, hangi",isim,B1,,It's what I am.,Ben buyum.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,when,"ne zaman, zaman, ne vakit",bağlaç,B1,,I come when I can.,Gelebildiğim zaman gelirim.
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,whereabouts,"bulunduğu veya olduğu yer, yer, semt",fiil,C1,,I don't know his whereabouts.,Onun bulunduğu yeri bilmiyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,wherever,"nerede, nereye, her nerede",isim,B2,,I'll go wherever you go.,Gittiğin her yere gideceğim.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,which,"hangi, kaçıncı, hangisini",bağlaç,B1,,Which way do I go?,Hangi yoldan giderim?
Kütüphane: Bağlaçlar & Edatlar,Zıtlık ve Karşılaştırma,while,"sırasında, iken, olduğu halde",bağlaç,B1,,It's been a while.,Bir süre oldu.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,white,"beyaz, ak, solgun",sıfat,A1,,I'm sick of white.,Ben beyazdan bıktım.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,who,"kim, kimi, kime",bağlaç,B1,,I am who I am.,Ben neysem oyum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,whole,"tam, bütün, tüm",sıfat,B1,,I saw the whole thing.,Bütün şeyi gördüm.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,whose,"isim olarak kullanılan yancümlenin başında bulunur, sıfat olarak kullanılan yancümlenin başında bulunur, kimin",isim,B1,,Whose turn is it now?,Şimdi kimin sırası?
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,why,"neden, niçin, niye",fiil,B1,,Why can't I go?,Neden gidemem?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,wide,"geniş, bol, engin",sıfat,B1,,Now I'm wide awake.,Şimdi tamamen uyanığım.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,widespread,"yaygın, alabildiğine açılmış, geniş alana yayılmış",sıfat,C1,,The decision caused widespread anger.,Karar yaygın öfkeye neden oldu.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,wife,"kocanın eşi, hanım, karı",isim,A1,,I'm Tom's wife.,Ben Tom'un eşiyim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,wild,"yaban, vahşi, yabani",sıfat,B1,,I'm not that wild.,O kadar vahşi değilim.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",will,"vasiyet, irade, dilemek",isim,B1,,I will buy a car.,Bir araba alacağım.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,wind,"sarmak, dolamak, yel",fiil,B1,,A cold wind blew in.,Evde soğuk bir rüzgar esti.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,window,"pencere, camekan, vitrin",isim,A1,,I sat by the window.,Pencerenin yanında oturdum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,windy,"rüzgarlı, hızlı, lafı uzatan",sıfat,B1,,It's a windy day.,Rüzgarlı bir gün.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,wire,"telle bağlamak, tel takmak, telle çevirmek",isim,B1,,It's a wire cage.,Bu bir kafes.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,wisdom,"akıl, bilgelik, hikmet",isim,B1,knowledge,He is a man of wisdom.,"O, bilge bir adam."
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),wisely,"akıllıca, bilgece",zarf,B1,,You must act more wisely.,Daha akıllıca hareket etmelisin.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,with,"ile, -lı, beraberinde",edat,A1,,I'm OK with it.,Benim için sorun değil.
Kütüphane: Bağlaçlar & Edatlar,Zaman ve Süreç Edatları,within,"dahilinde, içinde, içerisinde",edat,B1,,Come back within a month.,Bir ay içinde geri gel.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,without,"dış, dıştan, dışarıda",edat,B2,,Don't go without me.,Bensiz gitme.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,witness,"şahit olmak, şahitlik etmek, tanık olmak",isim,B2,,We've got a witness.,Bir görgü tanığımız var.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,witnessed,"meşhut, şahit olunmuş",sıfat,B2,,She witnessed him being killed.,"O, onun öldürülüşüne tanıklık etti."
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,witnesses,"tanıklar, şahitler, görgü tanıkları",isim,B2,,There weren't any witnesses.,Herhangi bir tanık yoktu.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,wives,eşler,isim,B1,,I have three ex-wives.,Üç eski karım var.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,woman,"kadın, hanım, karı",isim,A1,,I'm not a woman.,Ben kadın değilim.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,women,"kadınlar, kadın milleti",isim,A1,,I don't trust women.,Kadınlara güvenmem.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,wood,"odun, tahta, ahşap",isim,B1,,I like to chop wood.,Tahta doğramayı severim.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,work,"çalışmak, işe yaramak, iş yapmak",fiil,A1,,I work at a bar.,Ben bir barda çalışıyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,worker,"işçi, adam, amele",isim,B1,,I'm a hard worker.,Ben çok çalışkanım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,workers,işçi sınıfı,isim,B2,,He hired some new workers.,O bazı yeni işçileri işe aldı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,workplace,"işyeri, iş yeri, dükkan",isim,B2,,Always keep your workplace organized.,Her zaman iş yerinizi düzenli tutun.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,works,"yapıtlar, fabrika, tesis",isim,B1,,He works at a bank.,O bir bankada çalışıyor.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",workshop,"çalıştay, seminer, zanaatçıya ait atölye",isim,B2,,I am working at the workshop.,Ben atölyede çalışıyorum.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,world,"alem, dünya, evren",isim,A1,,It's a big world.,Bu büyük bir dünya.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,worldwide,"dünya çapındaki, dünyadaki her ulusu kapsayan, yaygın",sıfat,B2,,It's a worldwide problem.,Dünya çapında bir sorun.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,worried,"endişeli, kaygılı, endişelenmiş",sıfat,B2,,I'm a bit worried.,Biraz endişeliyim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,worry,"endişelenmek, üzülmek, merak etmek",fiil,B1,,I try not to worry.,Üzülmemeye çalışıyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,worrying,"endişe verici, üzücü, rahatsız edici",sıfat,B2,,I do a lot of worrying.,Bir sürü üzücü şey yaptım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,worth,"değer, eder, çap",isim,B1,,It's worth a try.,Denemeye değer.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,worthy,"önemli kimse, ileri gelenlerden biri, saygın kişi",sıfat,B1,,He's not worthy of you.,O sana layık değil.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,wound,"yaralamak, yara, vurmak",fiil,B1,,Is the wound very deep?,Yara çok derin mi?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,wounded,"yaralı, yaralanmış, mecruh",sıfat,B2,,He was wounded in the war.,"O, savaşta yaralandı."
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",wr,"kırmızı renkli, monoazo bir organik pigment",isim,B1,,I'd like to wring Tom's neck.,Tom'un boynunu sıkmak istiyorum.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,write,"yazmak, wrote - written, kaydetmek",fiil,A1,,I can't write yet.,Henüz yazamam.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,writer,"yazar, müellif, muharrir",isim,A1,,He is a good writer.,O iyi bir yazar.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,xx,yirminci,sıfat,B1,,The empirical results of the study were remarkably xx.,Çalışmanın ampirik sonuçlarının son derece yirminci olduğu görüldü.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,yard,"bahçe, avlu, açıklık",isim,B1,,We have a big yard.,Büyük bir bahçemiz var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,yeah,"tamam, he, evet",isim,B1,,"Yeah. I think so, too.",Evet. Ben de öyle düşünüyorum.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,year,"yıl, sene, ihtiyarlık",isim,A1,,I did it last year.,Ben onu geçen yıl yaptım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,years,"yıllar, yıl",isim,B1,,Give it a few years.,Ona birkaç yıl ver.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,yes,"evet, olumlu cevap, olumlu oy",isim,B1,,I won't say yes.,Evet demeyeceğim.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,yesterday,dün,fiil,B2,,I got my pay yesterday.,Dün ödememi aldım.
Kütüphane: Bağlaçlar & Edatlar,Zıtlık ve Karşılaştırma,yet,"henüz, gerçi, yine de",bağlaç,B1,,I can't go yet.,Henüz gidemiyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,yogurt,yoğurt,isim,B1,,I'd like some yogurt.,Biraz yoğurt isterim.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,you,"siz, sen, seni",zamir,B1,,I'm mad at you.,Sana kızgınım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,you're,"tehlikedesin, yaşlısın diye haklı olman gerekmiyor, umarım ne yaptığını biliyorsundur",isim,B1,,The investigation highlighted the critical role of you're.,Soruşturma tehlikedesin kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,young,"genç, hayvan yavrusu, döl",sıfat,B1,,He can't be young.,"O, genç olamaz."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,your,"senin, sizin",isim,B1,,Am I in your way?,Ben senin yolunda mıyım?
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,youth,"gençlik, genç, genç kişi",isim,B1,,I spent my youth there.,Gençliğimi orada geçirdim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,youthful,"dinç, genç bir havaya sahip, genç",sıfat,B2,,The empirical results of the study were remarkably youthful.,Çalışmanın ampirik sonuçlarının son derece dinç olduğu görüldü.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,yummy,"lezzetli, nefis, harika",sıfat,A1,,Coffee with cream and sugar is yummy.,Krema ve şekerli kahve nefis.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,zone,"kuşak, bölge, bir yerde ancak belirli bir faaliyete izin vermek",isim,B1,,It's like a war zone there.,Bu orada bir savaş bölgesi gibi.
Kütüphane: Phrasal Verbs,Sık Çıkan Phrasal Verbs,stand for,"temsil etmek, anlamına gelmek",phrasal verb,B2,"represent, symbolize, signify",What does the acronym UNESCO stand for in international law?,Uluslararası hukukta UNESCO kısaltması ne anlama gelmektedir?
Kütüphane: Phrasal Verbs,Sık Çıkan Phrasal Verbs,take after,benzemek (aile büyüğüne huy veya tip olarak),phrasal verb,B2,"resemble, look like",She takes after her mother in both academic discipline and character.,Hem akademik disiplin hem de karakter olarak annesine benziyor.
